Dates,Total_Cases,Daily_Cases,Daily_Cases_Change,Total_Losses,Daily_Losses,Intubated,Out_IC_Total,Out_IC_Daily,Daily_Admissions,Active_Cases,Total_Recovered,Total_RTPCR_tests,Daily_RTPCR_tests,Total_RAPID_AG_tests,Daily_RAPID_AG_tests,Total_Tests,Daily_Tests,Positivity_Rate,Total_Self_Tests,Total_Self_Tests_Recheck,Total_Positive_Self_Tests
26/02/20,1,1,0.0,0,0,0,,,,1,0,0,0,0,0,0,0,,,,
27/02/20,3,2,200.0,0,0,0,,,,3,0,0,0,0,0,0,0,,,,
28/02/20,4,1,33.3,0,0,0,,,,4,0,0,0,0,0,0,0,,,,
29/02/20,7,3,75.0,0,0,0,,,,4,0,0,0,0,0,0,0,,,,
01/03/20,7,0,0.0,0,0,0,,,,7,0,0,0,0,0,0,0,,,,
02/03/20,7,0,0.0,0,0,0,,,,7,0,0,0,0,0,0,0,,,,
03/03/20,7,0,0.0,0,0,0,,,,7,0,570,570,0,0,570,570,0.00,,,
04/03/20,9,2,28.6,0,0,0,,,,9,0,570,0,0,0,570,0,,,,
05/03/20,31,22,244.4,0,0,0,,,,31,0,570,0,0,0,570,0,,,,
06/03/20,45,14,45.2,0,0,1,,,,45,0,570,0,0,0,570,0,,,,
07/03/20,66,21,46.7,0,0,1,,,,46,0,570,0,0,0,570,0,,,,
08/03/20,73,7,10.6,0,0,1,,,,73,0,570,0,0,0,570,0,,,,
09/03/20,84,11,15.1,0,0,1,,,,73,0,570,0,0,0,570,0,,,,
10/03/20,89,5,6.0,0,0,1,,,,89,0,570,0,0,0,570,0,,,,
11/03/20,99,10,11.2,0,0,1,,,,98,0,570,0,0,0,570,0,,,,
12/03/20,117,18,18.2,1,1,1,,,,98,2,2180,1610,0,0,2180,1610,1.12,,,
13/03/20,190,73,62.4,1,0,1,,,,189,2,2700,520,0,0,2700,520,14.04,,,
14/03/20,228,38,20.0,3,2,5,,,,217,8,3400,700,0,0,3400,700,5.43,,,
15/03/20,331,103,45.2,4,1,8,,,,319,10,4000,600,0,0,4000,600,17.17,,,
16/03/20,352,21,6.3,4,0,9,,,,319,10,4320,320,0,0,4320,320,6.56,,,
